1.2             1
             2            -1
             3             1
             4            -3
5.1             1
5.2             1
             6            -5
             7             1
             8            -7
9.7             1
9.8             1
10.7             1
10.8             1
11.2             1
            12           -11
            13             1
            14           -13
15.1             1
15.2             1
            16           -15
            17             1
            18           -17
